20250101 113700;23711.25;23713.45;23706;23710.3;2000
20250101 113800;23709.85;23711.85;23704.9;23708.25;2000
20250101 113900;23707.5;23707.65;23693.75;23699.15;2000
20250101 114000;23701.15;23704.35;23697.7;23704.35;2000
20250101 114100;23704.15;23719.5;23703.6;23716.95;2000
20250101 114200;23716.95;23720.55;23715.35;23718.7;2000
20250101 114300;23718.75;23723.9;23718.15;23722.85;2000
20250101 114400;23723;23725.5;23719.1;23724.45;2000
20250101 114500;23723.2;23723.6;23718.75;23723.3;2000
20250101 114600;23723.45;23735.95;23723.45;23733.15;2000
20250101 114700;23733.8;23735.1;23725.15;23725.7;2000
20250101 114800;23725.6;23730.9;23718.75;23719.45;2000
20250101 114900;23718.55;23718.55;23707.4;23708.45;2000
20250101 115000;23709.35;23712.1;23704.25;23711.95;2000
20250101 115100;23711.75;23711.75;23705.9;23708.05;2000
20250101 115200;23708.8;23709.45;23704.9;23706.35;2000
20250101 115300;23707.65;23708.9;23704.25;23704.25;2000
20250101 115400;23704.5;23704.5;23688.25;23688.25;2000
20250101 115500;23687.1;23690.55;23678.35;23690.55;2000
20250101 115600;23690.8;23696.2;23689.85;23693.15;2000
20250101 115700;23693.4;23698.15;23692.6;23694.55;2000
20250101 115800;23694.8;23694.8;23688.4;23689.45;2000
20250101 115900;23689.3;23691.5;23683.8;23691.5;2000
20250101 120000;23691.35;23693.55;23688.8;23690.2;2000
20250101 120100;23689.95;23699.05;23689.65;23697.3;2000
20250101 120200;23696.4;23697.65;23690.5;23693.15;2000
20250101 120300;23692.7;23701.95;23692.7;23698.35;2000
20250101 120400;23698.85;23706.8;23698.3;23706.45;2000
20250101 120500;23706.75;23707.5;23703.95;23704.5;2000
20250101 120600;23704.5;23708;23702.9;23703.4;2000
20250101 120700;23702.6;23704.25;23699.3;23701.35;2000
20250101 120800;23701.75;23716.15;23700.9;23716.15;2000
20250101 120900;23714.4;23717.95;23710.55;23713.85;2000
20250101 121000;23714.45;23714.45;23703.5;23704.05;2000
20250101 121100;23703.3;23712.85;23703;23710.8;2000
20250101 121200;23709.75;23714.85;23707.5;23709.9;2000
20250101 121300;23711.1;23716.5;23708.4;23715.35;2000
20250101 121400;23715.55;23718.95;23713.2;23714.25;2000
20250101 121500;23713.5;23726.7;23711.15;23725.65;2000
20250101 121600;23729.95;23731.25;23721;23731.25;2000
20250101 121700;23730.5;23735.55;23723.65;23728.85;2000
20250101 121800;23728.05;23732;23724.95;23728.7;2000
20250101 121900;23727.75;23738.55;23727.75;23738.5;2000
20250101 122000;23737.75;23758.7;23736.65;23757.3;2000
20250101 122100;23757.7;23768.15;23754.35;23767.45;2000
20250101 122200;23767.3;23769.65;23760.7;23764.1;2000
20250101 122300;23763.9;23764.65;23757.9;23759.2;2000
20250101 122400;23759.7;23759.7;23752.35;23753.45;2000
20250101 122500;23753.7;23763.1;23752.35;23759.4;2000
20250101 122600;23759.05;23759.05;23751.8;23756.2;2000
20250101 122700;23756.65;23756.65;23751.5;23755.6;2000
20250101 122800;23755.85;23755.85;23749.35;23751.45;2000
20250101 122900;23751.05;23751.75;23744.45;23748.9;2000
20250101 123000;23749.2;23756.2;23748.75;23752.95;2000
20250101 123100;23753.05;23772.95;23751.8;23768.3;2000
20250101 123200;23767.35;23767.9;23763.75;23765.65;2000
20250101 123300;23765.1;23765.7;23759.4;23760.5;2000
20250101 123400;23760.85;23766.15;23760.65;23762;2000
20250101 123500;23761.55;23764.35;23760.8;23762.75;2000
20250101 123600;23762.95;23763.45;23750.75;23760.5;2000
20250101 123700;23760.15;23766.15;23757.25;23765.85;2000
20250101 123800;23765.6;23768.2;23763.5;23767.15;2000
20250101 123900;23767.15;23770.7;23765.85;23769.9;2000
20250101 124000;23768.5;23771.25;23764.75;23765.65;2000
20250101 124100;23764.95;23764.95;23756;23758.05;2000
20250101 124200;23758.3;23762.25;23750.05;23758.5;2000
20250101 124300;23759.65;23763.25;23754.05;23762.1;2000
20250101 124400;23761.95;23765.8;23754.95;23759.9;2000
20250101 124500;23759.85;23767.6;23751.3;23765.45;2000
20250101 124600;23765.55;23766.65;23759.4;23765.8;2000
20250101 124700;23766.15;23770.75;23761.15;23765.75;2000
20250101 124800;23766.55;23768.95;23762.6;23766.1;2000
20250101 124900;23766.5;23766.7;23756.8;23760.2;2000
20250101 125000;23757.25;23764.35;23753;23757.65;2000
20250101 125100;23758.3;23766.75;23758.3;23765.75;2000
20250101 125200;23765.85;23773;23764;23765.15;2000
20250101 125300;23764.1;23764.1;23753.75;23763.25;2000
20250101 125400;23758.4;23760;23752.55;23757.2;2000
20250101 125500;23758.05;23760.75;23747.95;23748.45;2000
20250101 125600;23749.9;23753.7;23741.65;23742.5;2000
20250101 125700;23743.05;23746.45;23738.35;23744.85;2000
20250101 125800;23744.9;23745.15;23737;23737.25;2000
20250101 125900;23737.65;23738.15;23732.6;23733.85;2000
20250101 130000;23734.85;23736.25;23731.35;23735.55;2000
20250101 130100;23735.8;23738.8;23732.75;23737.3;2000
20250101 130200;23736.5;23738.85;23729.45;23731.1;2000
20250101 130300;23732.5;23737.55;23730.35;23735.9;2000
